Term Code,College Code,Department Code,CRN,Campus Code,Subject Code,Course Number,Section Number,Section Title,Instructor 1 ID,Instructor 1 First Name,Instructor 1 Last Name,Question Number,Question,Mean,Median,Standard Deviation,Department Mean,Department Median,Similar College Mean,Similar College Median,College Mean,College Median,Percent Rank - Department,Percent Rank - College,Responses,Percent #1,Percent #2,Percent #3,Percent #4,Percent #5,ZScore - College,ZScore - College Similar Sections,Course Level,Section Size
201720,EN,EN00,22217,N,ENGR,1411,010,Freshman Engineering Exper,113363969,Kathy,Volz,2,The instructor was well-organized and made adequate preparation for class.,4.5,5,0.63246,4.13356,5,4.24749,5,4.24749,5,50.98,52.997,16,0,0,6.25,37.5,56.25,0.24593,0.24593,All,All
201720,EN,EN00,22217,N,ENGR,1411,010,Freshman Engineering Exper,113363969,Kathy,Volz,3,Class time was well used and contributed to my learning of the material.,3.6875,4,1.25,3.82818,4,4.05369,4,4.05369,4,27.451,17.35,16,6.25,12.5,18.75,31.25,31.25,-0.31642,-0.31642,All,All
201720,EN,EN00,22217,N,ENGR,1411,010,Freshman Engineering Exper,113363969,Kathy,Volz,5,The instructor related course material to professional practice and/or research.,4.25,4.5,1.06458,4.18807,5,4.28105,5,4.28105,5,41.176,29.968,16,6.25,0,6.25,37.5,50,-0.0316,-0.0316,All,All
201720,EN,EN00,22217,N,ENGR,1411,010,Freshman Engineering Exper,113363969,Kathy,Volz,6,The way in which the course was taught helped me develop analysis and design abilities.,3.75,4,1.29099,3.68197,4,4.01325,4,4.01325,4,33.333,23.028,16,6.25,12.5,18.75,25,37.5,-0.22433,-0.22433,All,All
201720,EN,EN00,22217,N,ENGR,1411,010,Freshman Engineering Exper,113363969,Kathy,Volz,10,"In general, the instructor taught this course effectively.",4.4375,4.5,0.62915,3.96682,4,4.1441,5,4.1441,5,49.02,48.896,16,0,0,6.25,43.75,50,0.26177,0.26177,All,All
201720,EN,EN00,22219,N,ENGR,1411,011,Disc-ENGR 1411,112123488,Randa,Shehab,2,The instructor was well-organized and made adequate preparation for class.,4.54839,5,0.67521,4.13356,5,4.24749,5,4.24749,5,52.941,54.259,31,0,0,9.67742,25.80645,64.51613,0.29306,0.29306,All,All
201720,EN,EN00,22219,N,ENGR,1411,011,Disc-ENGR 1411,112123488,Randa,Shehab,3,Class time was well used and contributed to my learning of the material.,4,4,1.1447,3.82818,4,4.05369,4,4.05369,4,39.216,33.123,30,6.66667,0,23.33333,26.66667,43.33333,-0.04639,-0.04639,All,All
201720,EN,EN00,22219,N,ENGR,1411,011,Disc-ENGR 1411,112123488,Randa,Shehab,5,The instructor related course material to professional practice and/or research.,4.36667,5,0.80872,4.18807,5,4.28105,5,4.28105,5,47.059,36.593,30,0,3.33333,10,33.33333,53.33333,0.08714,0.08714,All,All
201720,EN,EN00,22219,N,ENGR,1411,011,Disc-ENGR 1411,112123488,Randa,Shehab,6,The way in which the course was taught helped me develop analysis and design abilities.,3.51613,3,1.2075,3.68197,4,4.01325,4,4.01325,4,29.412,16.088,31,6.45161,9.67742,38.70968,16.12903,29.03226,-0.42361,-0.42361,All,All
201720,EN,EN00,22219,N,ENGR,1411,011,Disc-ENGR 1411,112123488,Randa,Shehab,10,"In general, the instructor taught this course effectively.",4.09677,4,1.13592,3.96682,4,4.1441,5,4.1441,5,31.373,29.968,31,6.45161,3.22581,9.67742,35.48387,45.16129,-0.04223,-0.04223,All,All
201720,EN,EN00,17407,N,ENGR,1510,001,Mep-Orientation,112364597,Lisa,Morales,2,The instructor was well-organized and made adequate preparation for class.,4.5,5,1,4.13356,5,4.24749,5,4.24749,5,50.98,52.997,4,0,0,25,0,75,0.24593,0.24593,All,All
201720,EN,EN00,17407,N,ENGR,1510,001,Mep-Orientation,112364597,Lisa,Morales,3,Class time was well used and contributed to my learning of the material.,4.5,5,1,3.82818,4,4.05369,4,4.05369,4,74.51,62.461,4,0,0,25,0,75,0.38565,0.38565,All,All
201720,EN,EN00,17407,N,ENGR,1510,001,Mep-Orientation,112364597,Lisa,Morales,5,The instructor related course material to professional practice and/or research.,4.5,5,1,4.18807,5,4.28105,5,4.28105,5,52.941,48.265,4,0,0,25,0,75,0.22284,0.22284,All,All
201720,EN,EN00,17407,N,ENGR,1510,001,Mep-Orientation,112364597,Lisa,Morales,6,The way in which the course was taught helped me develop analysis and design abilities.,4.25,4.5,0.95743,3.68197,4,4.01325,4,4.01325,4,62.745,46.057,4,0,0,25,25,50,0.20174,0.20174,All,All
201720,EN,EN00,17407,N,ENGR,1510,001,Mep-Orientation,112364597,Lisa,Morales,10,"In general, the instructor taught this course effectively.",4.5,5,1,3.96682,4,4.1441,5,4.1441,5,56.863,55.836,4,0,0,25,0,75,0.31753,0.31753,All,All
201720,EN,EN00,17408,N,ENGR,1510,002,Mep-Orientation,112364597,Lisa,Morales,2,The instructor was well-organized and made adequate preparation for class.,4.8,5,0.42164,4.13356,5,4.24749,5,4.24749,5,90.196,81.703,10,0,0,0,20,80,0.53812,0.53812,All,All
201720,EN,EN00,17408,N,ENGR,1510,002,Mep-Orientation,112364597,Lisa,Morales,3,Class time was well used and contributed to my learning of the material.,4.8,5,0.42164,3.82818,4,4.05369,4,4.05369,4,92.157,84.227,10,0,0,0,20,80,0.64488,0.64488,All,All
201720,EN,EN00,17408,N,ENGR,1510,002,Mep-Orientation,112364597,Lisa,Morales,5,The instructor related course material to professional practice and/or research.,4.9,5,0.31623,4.18807,5,4.28105,5,4.28105,5,86.275,86.751,10,0,0,0,10,90,0.62994,0.62994,All,All
201720,EN,EN00,17408,N,ENGR,1510,002,Mep-Orientation,112364597,Lisa,Morales,6,The way in which the course was taught helped me develop analysis and design abilities.,4.8,5,0.42164,3.68197,4,4.01325,4,4.01325,4,92.157,85.489,10,0,0,0,20,80,0.67042,0.67042,All,All
201720,EN,EN00,17408,N,ENGR,1510,002,Mep-Orientation,112364597,Lisa,Morales,10,"In general, the instructor taught this course effectively.",4.9,5,0.31623,3.96682,4,4.1441,5,4.1441,5,92.157,87.066,10,0,0,0,10,90,0.67441,0.67441,All,All
201720,EN,EN00,33535,N,ENGR,1510,901,"Water, H2O & WaTER Intro.",112113508,David,Sabatini,2,The instructor was well-organized and made adequate preparation for class.,4.6,5,0.89443,4.13356,5,4.24749,5,4.24749,5,60.784,59.306,5,0,0,20,0,80,0.34333,0.34333,All,All
201720,EN,EN00,33535,N,ENGR,1510,901,"Water, H2O & WaTER Intro.",112113508,David,Sabatini,3,Class time was well used and contributed to my learning of the material.,4.6,5,0.89443,3.82818,4,4.05369,4,4.05369,4,82.353,66.877,5,0,0,20,0,80,0.47206,0.47206,All,All
